"","ind","reg","per","low","med","upp","names_plot"
"1","alien","C",6,0.988235294117647,1,1,"Fravær av fremmede arter"
"2","alien","E",6,0.995394606540117,0.99791985906537,1,"Fravær av fremmede arter"
"3","alien","N",6,0.997050505050505,0.998701573558716,0.999891156462585,"Fravær av fremmede arter"
"4","alien","Norge",6,0.996747042170806,0.998911331636529,0.999635163457815,"Fravær av fremmede arter"
"5","alien","S",6,1,1,1,"Fravær av fremmede arter"
"6","alien","W",6,1,1,1,"Fravær av fremmede arter"
"7","breareal","C",6,0.386376672115097,0.402748015125058,0.419924431724196,"Areal av isbreer"
"8","breareal","E",6,0.660499363466166,0.68815945618902,0.71687597538745,"Areal av isbreer"
"9","breareal","N",6,0.63245635688616,0.659156221063175,0.686541696922557,"Areal av isbreer"
"10","breareal","Norge",6,0.188143061776558,0.662382064846063,0.804799889279036,"Areal av isbreer"
"11","breareal","S",6,0.180539458081307,0.188043871320733,0.195921166067855,"Areal av isbreer"
"12","breareal","W",6,0.752583497650151,0.785205582857111,0.818418542122392,"Areal av isbreer"
"13","EllLHigh","C",6,0.970894100254002,0.973413557559591,0.975885370873063,"Ellenberg L (øvre)"
"14","EllLHigh","E",6,0.974707301859853,0.978740255555017,0.982249449232322,"Ellenberg L (øvre)"
"15","EllLHigh","N",6,0.967821206521966,0.97055075122524,0.973137097979554,"Ellenberg L (øvre)"
"16","EllLHigh","Norge",6,0.969430881647558,0.971367747698863,0.973223338082528,"Ellenberg L (øvre)"
"17","EllLHigh","S",6,0.975405761588029,0.980888142270023,0.986433196398931,"Ellenberg L (øvre)"
"18","EllLHigh","W",6,0.953374700718836,0.958764724970354,0.964547328673999,"Ellenberg L (øvre)"
"19","EllLLow","C",6,0.954163116277112,0.969085487301528,0.980508674404438,"Ellenberg L (nedre)"
"20","EllLLow","E",6,0.98003571362735,0.983877717595923,0.987176377946189,"Ellenberg L (nedre)"
"21","EllLLow","N",6,0.980750605401584,0.984639510768051,0.98801843940363,"Ellenberg L (nedre)"
"22","EllLLow","Norge",6,0.979229714886018,0.982436724437405,0.985078501602903,"Ellenberg L (nedre)"
"23","EllLLow","S",6,0.953075986176912,0.988132003544678,0.98910831635742,"Ellenberg L (nedre)"
"24","EllLLow","W",6,0.975615825173884,0.982832561063131,0.988536281203272,"Ellenberg L (nedre)"
"25","EllNHigh","C",6,0.961270676557563,0.969547761156798,0.977113165699194,"Ellenberg N (øvre)"
"26","EllNHigh","E",6,0.941049581376966,0.958112780377141,0.969363494806404,"Ellenberg N (øvre)"
"27","EllNHigh","N",6,0.958701524416721,0.964482238886666,0.969750100828568,"Ellenberg N (øvre)"
"28","EllNHigh","Norge",6,0.960123013265646,0.964657766100173,0.968708917450929,"Ellenberg N (øvre)"
"29","EllNHigh","S",6,0.955632004932526,0.971736071432378,0.987913826714269,"Ellenberg N (øvre)"
"30","EllNHigh","W",6,0.957181487573403,0.970321182863948,0.978802063584857,"Ellenberg N (øvre)"
"31","EllNLow","C",6,0.948771666248712,0.963173595140342,0.972652297944613,"Ellenberg N (nedre)"
"32","EllNLow","E",6,0.920868277660734,0.948299254441409,0.963501676824872,"Ellenberg N (nedre)"
"33","EllNLow","N",6,0.946028371921821,0.956898951776326,0.964018925762079,"Ellenberg N (nedre)"
"34","EllNLow","Norge",6,0.948621789608949,0.956499314741212,0.962416476286659,"Ellenberg N (nedre)"
"35","EllNLow","S",6,0.955215059253282,0.959248305488638,0.96357723374615,"Ellenberg N (nedre)"
"36","EllNLow","W",6,0.944919821509897,0.964141849984745,0.974077770856149,"Ellenberg N (nedre)"
"37","fjellindeks","C",6,0.6246940125,0.6746696,0.722896215,"Naturindeks for fjell (mod.)"
"38","fjellindeks","E",6,0.5810098875,0.62928355,0.67684448,"Naturindeks for fjell (mod.)"
"39","fjellindeks","N",6,0.6171377675,0.6646137,0.711292365,"Naturindeks for fjell (mod.)"
"40","fjellindeks","Norge",6,0.6188713025,0.65267875,0.68530887,"Naturindeks for fjell (mod.)"
"41","fjellindeks","S",6,0.554908665,0.60724755,0.658345175,"Naturindeks for fjell (mod.)"
"42","fjellindeks","W",6,0.584393495,0.63433345,0.6818332825,"Naturindeks for fjell (mod.)"
"43","fjellrev","C",6,0.111606230280434,0.194684578388717,0.3374579801041,"Fjellrev"
"44","fjellrev","E",6,0.0420586523755229,0.0726147736437146,0.127358904146401,"Fjellrev"
"45","fjellrev","N",6,0.0228012628562164,0.0320283741527298,0.043391187155066,"Fjellrev"
"46","fjellrev","Norge",6,0.018526414143365,0.0404929393485901,0.261685304153049,"Fjellrev"
"47","fjellrev","S",6,0.0105757852412515,0.0198395808416178,0.0364370070294708,"Fjellrev"
"48","fjellrev","W",6,0.0546875996472963,0.0924680258905551,0.159768597173081,"Fjellrev"
"49","fjellrype","C",6,0.520381485,1,1,"Fjellrype"
"50","fjellrype","E",6,0.2357976375,1,1,"Fjellrype"
"51","fjellrype","N",6,0.3013074675,0.7692288,1,"Fjellrype"
"52","fjellrype","Norge",6,0.1484089,0.7717405,1,"Fjellrype"
"53","fjellrype","S",6,0.03530516725,0.2896075,1,"Fjellrype"
"54","fjellrype","W",6,0.117707315,0.38045865,1,"Fjellrype"
"55","fragmentering","C",6,0.715523953776688,0.715523953776688,0.715523953776688,"Konnektivitet"
"56","fragmentering","E",6,0.477900534168346,0.477900534168346,0.477900534168346,"Konnektivitet"
"57","fragmentering","N",6,0.671310759730118,0.671310759730118,0.671310759730118,"Konnektivitet"
"58","fragmentering","Norge",6,0.601231698911943,0.601231698911943,0.601231698911943,"Konnektivitet"
"59","fragmentering","S",6,0.513011755310455,0.513011755310455,0.513011755310455,"Konnektivitet"
"60","fragmentering","W",6,0.438200845496107,0.438200845496107,0.438200845496107,"Konnektivitet"
"61","INON","C",6,0.83277756518887,0.83277756518887,0.83277756518887,"Areal uten tekniske inngrep"
"62","INON","E",6,0.759651564352353,0.759651564352353,0.759651564352353,"Areal uten tekniske inngrep"
"63","INON","N",6,0.842639593908629,0.842639593908629,0.842639593908629,"Areal uten tekniske inngrep"
"64","INON","Norge",6,0.792139291750187,0.792139291750187,0.792139291750187,"Areal uten tekniske inngrep"
"65","INON","S",6,0.73120665742025,0.73120665742025,0.73120665742025,"Areal uten tekniske inngrep"
"66","INON","W",6,0.659686869657093,0.659686869657093,0.659686869657093,"Areal uten tekniske inngrep"
"67","jerv","C",6,0.149857960935955,0.251928221005814,0.455248978365489,"Jerv"
"68","jerv","E",6,0.146724420628457,0.203450642728563,0.283161602978478,"Jerv"
"69","jerv","N",6,0.0834166586600529,0.132272550388847,0.206940361595549,"Jerv"
"70","jerv","Norge",6,0.0113763160139884,0.137565185531935,0.353941382633917,"Jerv"
"71","jerv","S",6,0.00768780605232111,0.0163383441903128,0.0383515514494599,"Jerv"
"72","jerv","W",6,0.00842571064842245,0.0198919533409894,0.0545676701902087,"Jerv"
"73","kongeørn","C",6,0.787477226899731,0.900363969864953,1,"Kongeørn"
"74","kongeørn","E",6,0.806343606060833,0.899574506530072,0.995924044449906,"Kongeørn"
"75","kongeørn","N",6,0.788175373574089,0.900806502083677,1,"Kongeørn"
"76","kongeørn","Norge",6,0.792055489927633,0.900985387100659,1,"Kongeørn"
"77","kongeørn","S",6,0.807555704550038,0.901726311292079,0.993637019309377,"Kongeørn"
"78","kongeørn","W",6,0.805025584824533,0.900016265324368,0.995071180525275,"Kongeørn"
"79","lirype","C",6,0.776010663012561,0.785813073452327,0.79600377698055,"Lirype"
"80","lirype","E",6,0.624344080310491,0.631697626086978,0.639143522619646,"Lirype"
"81","lirype","N",6,0.305294905804748,0.311732870443345,0.31820954189322,"Lirype"
"82","lirype","Norge",6,0.511189642094505,0.516111842310747,0.521175356320327,"Lirype"
"83","lirype","S",6,0.681779652553307,0.701796420850034,0.72273313442852,"Lirype"
"84","lirype","W",6,0.681779652553307,0.701796420850034,0.72273313442852,"Lirype"
"85","NDVI_upper","C",6,0.770731379691982,0.770731379691982,0.770731379691982,"NDVI (øvre)"
"86","NDVI_upper","E",6,0.77450363010212,0.77450363010212,0.77450363010212,"NDVI (øvre)"
"87","NDVI_upper","N",6,0.728800166557499,0.728800166557499,0.728800166557499,"NDVI (øvre)"
"88","NDVI_upper","Norge",6,0.749779240467695,0.749779240467695,0.749779240467695,"NDVI (øvre)"
"89","NDVI_upper","S",6,0.81014430255978,0.81014430255978,0.81014430255978,"NDVI (øvre)"
"90","NDVI_upper","W",6,0.76276207974305,0.76276207974305,0.76276207974305,"NDVI (øvre)"
"91","NDVI_lower","C",6,0.907006217945722,0.907006217945722,0.907006217945722,"NDVI (nedre)"
"92","NDVI_lower","E",6,0.85927036461574,0.85927036461574,0.85927036461574,"NDVI (nedre)"
"93","NDVI_lower","N",6,0.882155985725252,0.882155985725252,0.882155985725252,"NDVI (nedre)"
"94","NDVI_lower","Norge",6,0.875895531690264,0.875895531690264,0.875895531690264,"NDVI (nedre)"
"95","NDVI_lower","S",6,0.863697626566578,0.863697626566578,0.863697626566578,"NDVI (nedre)"
"96","NDVI_lower","W",6,0.875413146615391,0.875413146615391,0.875413146615391,"NDVI (nedre)"
"97","rein","C",6,0.499332641908049,0.609407084420665,0.704065917054164,"Rein"
"98","rein","E",6,0.608140985625742,0.687298640498249,0.766754704181742,"Rein"
"99","rein","N",6,0.537256074222782,0.593410082020641,0.648027913620694,"Rein"
"100","rein","Norge",6,0.553842512970375,0.593989041753199,0.636776485329708,"Rein"
"101","rein","S",6,0.658253994168756,0.714379144513566,0.758887203180766,"Rein"
"102","rein","W",6,0.314441981290879,0.441831363728402,0.622814596756841,"Rein"
"103","snodekke","C",6,0.71225959709384,0.96897965916625,1,"Snødekkets varighet"
"104","snodekke","E",6,0.667072170329669,0.884965263857894,0.981094569826228,"Snødekkets varighet"
"105","snodekke","N",6,0.596312553297819,0.873613549695782,1,"Snødekkets varighet"
"106","snodekke","Norge",6,0.596312553297819,0.86599990811119,1,"Snødekkets varighet"
"107","snodekke","S",6,0.591063511355944,0.787515363607791,0.923557356419876,"Snødekkets varighet"
"108","snodekke","W",6,0.686051975440946,0.840858693665332,0.921358187142012,"Snødekkets varighet"
"109","snodybde","C",6,0.845429239090097,0.964542169513949,1,"Snødybde"
"110","snodybde","E",6,0.798539956586577,0.969263497231918,1,"Snødybde"
"111","snodybde","N",6,0.963147655223543,1,1,"Snødybde"
"112","snodybde","Norge",6,0.798539956586577,1,1,"Snødybde"
"113","snodybde","S",6,0.762578676607517,0.910939201876119,1,"Snødybde"
"114","snodybde","W",6,0.904848755836171,0.973075822705729,1,"Snødybde"
"115","smaagnagere","C",6,0.029070091,0.04734171,0.08286830625,"Smågnagere"
"116","smaagnagere","E",6,0.0563397040667339,0.102979518615626,0.160720024762879,"Smågnagere"
"117","smaagnagere","N",6,0.03412171675,0.067341295,0.10242866,"Smågnagere"
"118","smaagnagere","Norge",6,0.0816123281229382,0.10923246644886,0.137841223827085,"Smågnagere"
"119","smaagnagere","S",6,0.208767376079652,0.346557243209667,0.475257105424586,"Smågnagere"
"120","smaagnagere","W",6,0.13846647461174,0.224677232640463,0.308029916252103,"Smågnagere"
"121","varmekrav","C",6,0.357919120877917,0.424234103996286,0.491530009482133,"Vegetasjonens varmekrav"
"122","varmekrav","E",6,0.290026590985637,0.356236806300271,0.433911694672111,"Vegetasjonens varmekrav"
"123","varmekrav","N",6,0.424788464023578,0.47082827480265,0.522234097092655,"Vegetasjonens varmekrav"
"124","varmekrav","Norge",6,0.411491052928559,0.444119519339389,0.475720345767606,"Vegetasjonens varmekrav"
"125","varmekrav","S",6,0.238106642599813,0.37602125736533,0.484150428182604,"Vegetasjonens varmekrav"
"126","varmekrav","W",6,0.413001729377644,0.516830400819515,0.619684938644168,"Vegetasjonens varmekrav"
"127","vinterregn","C",6,0.91093775219878,0.963924152789379,1,"Vinterregn"
"128","vinterregn","E",6,1,1,1,"Vinterregn"
"129","vinterregn","N",6,0.793486846546103,0.793486846546103,1,"Vinterregn"
"130","vinterregn","Norge",6,0.793486846546103,1,1,"Vinterregn"
"131","vinterregn","S",6,1,1,1,"Vinterregn"
"132","vinterregn","W",6,0.981956809703743,1,1,"Vinterregn"
